Title,Year,Genres,Runtime,Rating,Director,Writers,Cast,Row Number
Nightcrawler,2014,Action|Crime|Drama|Thriller,118,7.9,Dan Gilroy,Dan Gilroy,Bill Paxton|Jake Gyllenhaal|Rene Russo,1892
My Old Lady,2014,Action|Comedy|Drama|Romance,107,6.4,Israel Horovitz,Israel Horovitz,Kevin Kline|Kristin Scott Thomas|Maggie Smith,1913
Men in Black II,2002,Action|Adventure|Comedy|Family|Fantasy,88,6.1,Barry Sonnenfeld,Lowell Cunningham,Tommy Lee Jones|Will Smith,1961
Men in Black 3,2012,Action|Adventure|Comedy|Family|Fantasy,0,6.8,Barry Sonnenfeld,Etan Cohen,Josh Brolin|Tommy Lee Jones|Will Smith,1962
Marley,2012,Action|Biography|Documentary|Music,144,8.0,Kevin Macdonald,Bob Marley,Rita Marley,1979
Kingsman: The Secret Service,2014,Action|Adventure|Comedy|Crime|Thriller,129,7.7,Matthew Vaughn,Jane Goldman,Colin Firth|Taron Egerton,2069
"I, Robot",2004,Action|Crime|Drama|Mystery|Sci-Fi,115,7.1,Alex Proyas,Jeff Vintar,Bridget Moynahan|Will Smith,2171
I Am Legend,2007,Action|Drama|Horror|Sci-Fi|Thriller,101,7.2,Francis Lawrence,Mark Protosevich,Alice Braga|Will Smith,2180
Hitch,2005,Action|Comedy|Romance,118,6.6,Andy Tennant,Kevin Bisch,Eva Mendes|Kevin James|Will Smith,2213
Hancock,2008,Action|Crime|Drama|Fantasy|Sci-Fi,92,6.4,Peter Berg,Vincent Ngo,Charlize Theron|Jason Bateman|Will Smith,2249
Freedom Writers,2007,Action|Biography|Crime|Drama,123,7.5,Richard LaGravenese,Richard LaGravenese,Hilary Swank|Imelda Staunton,2315
Focus,2015,Action|Comedy|Crime|Drama|Romance,105,6.6,Glenn Ficarra,Glenn Ficarra,Margot Robbie|Will Smith,2330
Filmage: The Story of Descendents/All,2013,Action|Biography|Documentary|Music,90,8.3,Deedle Lacour,Matt Riggle,Bill Stevenson|Karl Alvarez|Milo Aukerman,2349
Fastest,2011,Action|Documentary|Sport,111,7.8,Mark Neale,Mark Neale,Ewan McGregor|Jorge Lorenzo|Valentino Rossi,2353
Dope,2015,Action|Comedy|Crime|Drama|Music,103,7.2,Rick Famuyiwa,Rick Famuyiwa,Kiersey Clemons|Shameik Moore|Tony Revolori,2410
Don't Stop Believin': Everyman's Journey,2012,Action|Documentary|Music,113,6.9,Ramona S. Diaz,Ramona S. Diaz,Arnel Pineda|Jonathan Cain|Neal Schon,2412
Bad Boys II,2003,Action|Comedy|Crime|Drama|Thriller,147,6.6,Michael Bay,George Gallo,Martin Lawrence|Will Smith,2655
An Adventure in Space and Time,2013,Action|Biography|Drama|History,90,8.3,Terry McDonough,Mark Gatiss,David Bradley|Roger May|Ross Gurney-Randall,2691
Ali,2001,Action|Biography|Drama|History|Sport,157,6.8,Michael Mann,Gregory Allen Howard,Jamie Foxx|Will Smith,2707
13 Sins,2014,Action|Horror|Thriller,93,6.3,Daniel Stamm,David Birke,Devon Graye|Mark Webber,2775
G.I. Joe: Retaliation,2013,Action|Adventure|Sci-Fi|Thriller,110,5.8,they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,Channing Tatum|Dwayne Johnson|Rhett Reese,2917
Amityville: The Awakening,2017,Horror|Thriller,85,4.9,Franck Khalfoun,Franck Khalfoun,Bella Thorne|Jennifer Jason Leigh|Mckenna Grace,3173
Edgar Allan Poe's Lighthouse Keeper,2016,Action|Horror,88,4.3,Benjamin Cooper,Benjamin Cooper,Matt O'Neill|Vernon Wells,3250
Kill Command,2016,Action|Horror|Sci-Fi|Thriller,99,5.7,Steven Gomez,Steven Gomez,David Ajala|Mike Noble|Vanessa Kirby,3348
Russell Madness,2015,Action|Drama|Family|Sport,92,4.3,Robert Vince,Aaron Brooks,David Milchard|Sean Giambrone,3368
A Good Man,2014,Action|Crime|Thriller,100,4.7,Keoni Waxman,Jason Rainwater,Iulia Verdes|Steven Seagal|Victor Webster,3369
Notes from the Field,2018,Drama,90,6.0,Kristi Zea,Anna Deavere Smith,Anna Deavere Smith,3419
From What Is Before,2014,Drama,338,7.9,Lav Diaz,Lav Diaz,Hazel Orencio|Perry Dizon|Roeder,3519
Gringo: The Dangerous Life of John McAfee,2016,Crime|Documentary,97,6.7,Nanette Burstein,Allison Adonizio,John McAfee,3524
Strokes of Genius,2018,Documentary,98,8.2,Andrew Douglas,Yves Allegro,Björn Borg,3636
Billionaire Boys Club,2018,Biography|Drama|Thriller,108,5.6,James Cox,James Cox,Ansel Elgort|Kevin Spacey|Taron Egerton,3645
Iliza: Elder Millennial,2018,Comedy,0,6.6,Steve Paley,Iliza Shlesinger,Hunter Hill|Iliza Shlesinger,3652
Hot Summer Nights,2017,Drama,107,6.6,Elijah Bynum,Elijah Bynum,Alex Roe|Maika Monroe|Timothée Chalamet,3660
The Devil and Father Amorth,2017,Documentary|Horror,68,5.0,William Friedkin,William Friedkin,Gabriele Amorth|Robert Barron|William Friedkin,3697
The Babysitter,2017,Comedy|Horror,85,6.3,McG,Brian Duffield,Judah Lewis|Robbie Amell|Samara Weaving,3714
Andover,2018,Comedy|Drama|Romance|Sci-Fi,91,7.1,Scott Perlman,Scott Perlman,Jennifer Finnigan|Jonathan Silverman|Richard Kind,3722
The After Party,2018,Comedy|Music,120,5.6,Ian Edelman,Ian Edelman,Harrison Holzer|Jordan Rock|Kyle,3793
The Land Before Time XII: The Great Day of the Flyers,2006,Adventure|Animation|Family|Musical,77,6.2,Charles Grosvenor,John Loy,Aria Noelle Curzon|John Ingle|Nick Price,3820
Brexitannia,2017,Documentary,80,7.9,Timothy George Kelly,Charlotte Kühlbrandt,Federico Campagna|Heidi Mirza|Noam Chomsky,3852
Bert Kreischer: Secret Time,2018,Comedy|Documentary,57,7.3,Todd Biermann,Bert Kreischer,Bert Kreischer,3860
The Cup,2011,Biography|Drama,99,5.7,Simon Wincer,Eric O'Keefe,Bryan Martin|Jodi Gordon|Stephen Curry,3881
Jane,2017,Biography|Documentary,90,7.8,Brett Morgen,Brett Morgen,Jane Goodall,3886
